symbol,ts_ms,price,size,side
TSLA,1736928000121,198.36,60,buy
AAPL,1736928000975,149.85,44,sell
SPY,1736928001118,401.18,20,buy
SPY,1736928001827,400.36,22,sell
AAPL,1736928002497,151.93,71,sell
TSLA,1736928003380,200.1,29,buy
NVDA,1736928006977,500.07,70,sell
SPY,1736928009495,399.64,26,buy
TSLA,1736928010059,197.75,9,sell
NVDA,1736928012671,500.49,61,sell
AAPL,1736928013617,150.06,60,sell
SPY,1736928014155,401.43,77,sell
TSLA,1736928014637,195.69,37,buy
MSFT,1736928015321,299.4,81,buy
SPY,1736928015593,399.26,81,buy
MSFT,1736928015802,297.8,23,sell
AAPL,1736928016350,150.45,29,buy
MSFT,1736928018659,299.24,39,buy
NVDA,1736928021412,503.99,63,buy
MSFT,1736928022418,299.38,11,sell
NVDA,1736928022442,499.44,57,sell
AAPL,1736928022741,152.09,80,buy
MSFT,1736928023484,299.47,17,sell
AAPL,1736928023564,149.44,84,buy
TSLA,1736928025203,196.25,41,buy
SPY,1736928025249,399.71,94,buy
TSLA,1736928028132,197.6,3,buy
MSFT,1736928029589,298.83,96,sell
TSLA,1736928029660,196.91,94,buy
AAPL,1736928031500,152.38,9,sell
MSFT,1736928032088,298.13,14,buy
NVDA,1736928032181,503.24,99,buy
TSLA,1736928032385,193.26,33,buy
TSLA,1736928032656,198.49,2,sell
SPY,1736928032776,401.1,93,buy
MSFT,1736928033080,301.49,85,sell
AAPL,1736928033889,152.14,55,sell
NVDA,1736928034308,503.85,40,buy
NVDA,1736928035216,500.03,81,sell
TSLA,1736928035874,194.17,61,sell
MSFT,1736928036663,297.62,95,sell
TSLA,1736928038021,194.45,34,buy
SPY,1736928040026,399.72,57,buy
TSLA,1736928040527,195.09,35,buy
TSLA,1736928041258,199.0,65,sell
NVDA,1736928041818,499.13,26,sell
TSLA,1736928045010,198.36,10,sell
SPY,1736928046016,398.69,33,sell
SPY,1736928047327,400.8,76,sell
AAPL,1736928048187,151.71,33,buy
NVDA,1736928048434,501.79,11,sell
TSLA,1736928049336,196.17,45,sell
AAPL,1736928049463,150.72,68,buy
MSFT,1736928049820,300.4,88,sell
MSFT,1736928049990,299.11,61,buy
AAPL,1736928050100,150.88,56,buy
NVDA,1736928050625,504.25,53,sell
MSFT,1736928051142,298.44,1,sell
NVDA,1736928052449,504.08,74,sell
NVDA,1736928052811,499.66,13,sell
TSLA,1736928052882,194.61,13,sell
NVDA,1736928054777,499.14,47,sell
MSFT,1736928054805,298.85,98,sell
SPY,1736928054842,400.72,37,buy
MSFT,1736928055889,300.17,89,buy
AAPL,1736928056046,151.94,56,buy
AAPL,1736928056243,151.68,38,buy
MSFT,1736928056799,298.98,49,buy
MSFT,1736928057363,296.68,64,buy
NVDA,1736928058374,502.72,86,buy
AAPL,1736928058414,150.24,90,sell
NVDA,1736928058451,500.58,100,sell
TSLA,1736928058809,196.29,56,buy
AAPL,1736928060852,152.03,30,sell
TSLA,1736928061059,195.01,21,sell
TSLA,1736928061168,197.66,64,buy
TSLA,1736928063749,194.67,15,sell
SPY,1736928064289,401.05,3,sell
MSFT,1736928065232,300.64,54,sell
NVDA,1736928065659,501.15,64,buy
SPY,1736928066028,400.7,44,buy
AAPL,1736928066663,151.5,63,sell
MSFT,1736928067172,302.99,9,buy
AAPL,1736928069140,152.55,34,buy
NVDA,1736928069165,501.73,35,buy
AAPL,1736928069999,151.45,24,sell
TSLA,1736928070571,194.92,89,buy
AAPL,1736928071585,151.16,95,sell
MSFT,1736928071617,297.82,70,buy
MSFT,1736928072997,296.63,72,buy
SPY,1736928073085,401.76,13,buy
AAPL,1736928073986,151.69,39,sell
SPY,1736928074929,399.04,92,buy
MSFT,1736928075044,301.35,29,buy
AAPL,1736928075077,152.07,48,sell
MSFT,1736928075914,299.03,37,buy
SPY,1736928075999,400.33,48,sell
AAPL,1736928077258,149.95,49,buy
AAPL,1736928077827,151.94,27,sell
MSFT,1736928078075,299.37,22,buy
NVDA,1736928078844,502.12,58,buy
AAPL,1736928079222,151.99,91,sell
MSFT,1736928079380,298.07,31,sell
AAPL,1736928079516,149.77,88,sell
AAPL,1736928080217,151.63,51,sell
AAPL,1736928080548,149.13,35,buy
NVDA,1736928081268,501.57,83,sell
NVDA,1736928081923,502.61,31,buy
TSLA,1736928082741,198.89,65,sell
NVDA,1736928082805,499.5,73,buy
MSFT,1736928083128,296.71,34,sell
TSLA,1736928084112,199.29,21,buy
